wpindex,istrue,frame,command,param1,param2,param3,param4,lat,long,alt,autocontinue
0,1,0,16,0,0,0,0,36.162151,-96.835559,300.1,1
1,0,3,16,0,0,0,0,36.1633792,-96.83532,100,1
2,0,3,16,0,0,0,0,36.1637343,-96.8349123,100,1
3,0,3,16,0,0,0,0,36.163717,-96.8344402,100,1
4,0,3,16,0,0,0,0,36.1638902,-96.8342471,100,1
5,0,3,16,0,0,0,0,36.1641804,-96.8340969,100,1
6,0,3,16,0,0,0,0,36.1640765,-96.833818,100,1
7,0,3,16,0,0,0,0,36.1644619,-96.8336034,100,1
8,0,3,16,0,0,0,0,36.1646698,-96.833775,100,1
9,0,3,16,0,0,0,0,36.1647521,-96.8341666,100,1
10,0,3,16,0,0,0,0,36.1648084,-96.8346763,100,1
11,0,3,16,0,0,0,0,36.1646784,-96.8349659,100,1
12,0,3,16,0,0,0,0,36.1646871,-96.8354058,100,1
13,0,3,16,0,0,0,0,36.1645312,-96.8355346,100,1
14,0,3,16,0,0,0,0,36.1643839,-96.8358457,100,1
15,0,3,16,0,0,0,0,36.1646091,-96.8360871,100,1
16,0,3,16,0,0,0,0,36.1645788,-96.8362427,100,1
17,0,3,16,0,0,0,0,36.1642584,-96.8363124,100,1
18,0,3,16,0,0,0,0,36.1641154,-96.8360871,100,1
19,0,3,16,0,0,0,0,36.1638729,-96.83613,100,1
20,0,3,16,0,0,0,0,36.1638166,-96.836291,100,1
21,0,3,16,0,0,0,0,36.163626,-96.836189,100,1
22,0,3,16,0,0,0,0,36.1634441,-96.8361998,100,1
23,0,3,16,0,0,0,0,36.1632839,-96.8362373,100,1
24,0,3,16,0,0,0,0,36.163141,-96.8360978,100,1
25,0,3,16,0,0,0,0,36.1629201,-96.8361032,100,1
26,0,3,16,0,0,0,0,36.1628292,-96.8362105,100,1
27,0,3,16,0,0,0,0,36.1626429,-96.8360603,100,1
28,0,3,16,0,0,0,0,36.1624567,-96.8361461,100,1
29,0,3,16,0,0,0,0,36.1622791,-96.8362266,100,1
30,0,3,16,0,0,0,0,36.1619413,-96.8363661,100,1
31,0,3,16,0,0,0,0,36.1617681,-96.8363714,100,1
32,0,3,16,0,0,0,0,36.1617464,-96.8365592,100,1
33,0,3,16,0,0,0,0,36.1615472,-96.8364787,100,1
34,0,3,16,0,0,0,0,36.1613956,-96.8363392,100,1
35,0,3,16,0,0,0,0,36.1613653,-96.8361354,100,1
36,0,3,16,0,0,0,0,36.1611921,-96.8361568,100,1
37,0,3,16,0,0,0,0,36.1610708,-96.8360066,100,1
38,0,3,16,0,0,0,0,36.1609972,-96.8357974,100,1
39,0,3,16,0,0,0,0,36.1610058,-96.8355936,100,1
40,0,3,16,0,0,0,0,36.1610188,-96.8354112,100,1
41,0,3,16,0,0,0,0,36.1610491,-96.8352664,100,1
42,0,3,16,0,0,0,0,36.1612787,-96.8351966,100,1
43,0,3,16,0,0,0,0,36.1614866,-96.8351054,100,1
44,0,3,16,0,0,0,0,36.1616728,-96.8353093,100,1
45,0,3,16,0,0,0,0,36.1618893,-96.8351859,100,1
46,0,3,16,0,0,0,0,36.1621665,-96.8350625,100,1
47,0,3,16,0,0,0,0,36.1623181,-96.8352878,100,1
48,0,3,16,0,0,0,0,36.1625476,-96.8351483,100,1
49,0,3,16,0,0,0,0,36.1626862,-96.8349177,100,1
50,0,3,16,0,0,0,0,36.1629894,-96.8349177,100,1
51,0,3,16,0,0,0,0,36.1632493,-96.8347514,100,1
52,0,3,16,0,0,0,0,36.1633489,-96.8343008,100,1
53,0,3,16,0,0,0,0,36.1632406,-96.8340433,100,1
54,0,3,16,0,0,0,0,36.1629981,-96.8341291,100,1
55,0,3,16,0,0,0,0,36.1628768,-96.8339789,100,1
56,0,3,16,0,0,0,0,36.1627512,-96.8340647,100,1
57,0,3,16,0,0,0,0,36.1624654,-96.8342149,100,1
58,0,3,16,0,0,0,0,36.1623484,-96.8344134,100,1
59,0,3,16,0,0,0,0,36.1620972,-96.8345851,100,1
60,0,3,16,0,0,0,0,36.161885,-96.8344402,100,1
61,0,3,16,0,0,0,0,36.1616511,-96.8345743,100,1
62,0,3,16,0,0,0,0,36.1614692,-96.8344885,100,1
63,0,3,16,0,0,0,0,36.1612527,-96.8346226,100,1
64,0,3,16,0,0,0,0,36.1610231,-96.8343168,100,1
65,0,3,16,0,0,0,0,36.1611747,-96.8338984,100,1
66,0,3,16,0,0,0,0,36.1614476,-96.8336731,100,1
67,0,3,16,0,0,0,0,36.1617724,-96.8335927,100,1
68,0,3,16,0,0,0,0,36.1620193,-96.833539,100,1
69,0,3,16,0,0,0,0,36.1624264,-96.8335176,100,1
70,0,3,16,0,0,0,0,36.1626992,-96.8334049,100,1
71,0,3,16,0,0,0,0,36.1629981,-96.833539,100,1
72,0,3,16,0,0,0,0,36.1634095,-96.8336195,100,1
73,0,3,16,0,0,0,0,36.1638902,-96.8334639,100,1
74,0,3,16,0,0,0,0,36.1641587,-96.8335283,100,1
75,0,3,16,0,0,0,0,36.1643926,-96.83348,100,1
76,0,3,16,0,0,0,0,36.1647347,-96.8334639,100,1
77,0,3,16,0,0,0,0,36.164934,-96.8339092,100,1
78,0,3,16,0,0,0,0,36.1650552,-96.8344831,100,1
79,0,3,16,0,0,0,0,36.1645399,-96.8346924,100,1
80,0,3,16,0,0,0,0,36.164215,-96.8348694,100,1
81,0,3,16,0,0,0,0,36.1640981,-96.8351537,100,1
82,0,3,16,0,0,0,0,36.1638902,-96.8355078,100,1
83,0,3,16,0,0,0,0,36.163743,-96.8356848,100,1
84,0,3,16,0,0,0,0,36.1634008,-96.8357867,100,1
85,0,3,16,0,0,0,0,36.1631237,-96.8355346,100,1
86,0,3,16,0,0,0,0,36.1626862,-96.835717,100,1
