wpindex,istrue,frame,command,param1,param2,param3,param4,lat,long,alt,autocontinue
0,1,0,16,0,0,0,0,36.162151,-96.835559,300.1,1
1,0,3,16,0,0,0,0,36.1664627,-96.832552,100,1
2,0,3,16,0,0,0,0,36.170343,-96.8276167,100,1
3,0,3,16,0,0,0,0,36.1725428,-96.8338823,100,1
4,0,3,16,0,0,0,0,36.1714516,-96.839633,100,1
5,0,3,16,0,0,0,0,36.168784,-96.8429375,100,1
6,0,3,16,0,0,0,0,36.1635351,-96.8429589,100,1
7,0,3,16,0,0,0,0,36.1576622,-96.8403196,100,1
8,0,3,16,0,0,0,0,36.158078,-96.8279815,100,1
9,0,3,16,0,0,0,0,36.1655966,-96.8229175,100,1
10,0,3,16,0,0,0,0,36.1686454,-96.8222523,100,1
