wpindex,istrue,frame,command,param1,param2,param3,param4,lat,long,alt,autocontinue
0,1,0,16,0,0,0,0,-35.363262,149.165238,584.09,1
1,0,3,16,0,0,0,0,-35.3619486,149.1631578,100,1
2,0,3,16,0,0,0,0,-35.3591487,149.1554976,100,1
3,0,3,16,0,0,0,0,-35.3580987,149.1526651,100,1
4,0,3,16,0,0,0,0,-35.361721,149.1512918,100,1
5,0,3,16,0,0,0,0,-35.3607061,149.1448975,100,1
6,0,3,16,0,0,0,0,-35.3635585,149.1466784,100,1
7,0,3,16,0,0,0,0,-35.3659382,149.1475153,100,1
8,0,3,16,0,0,0,0,-35.3677404,149.1511846,100,1
9,0,3,16,0,0,0,0,-35.3691578,149.1592956,100,1
10,0,3,16,0,0,0,0,-35.3706451,149.1616988,100,1
11,0,3,16,0,0,0,0,-35.3733571,149.1636514,100,1
12,0,3,16,0,0,0,0,-35.378396,149.1672778,100,1
13,0,3,16,0,0,0,0,-35.3821924,149.1674923,100,1
14,0,3,16,0,0,0,0,-35.3785359,149.1786075,100,1
15,0,3,16,0,0,0,0,-35.3749143,149.1859245,100,1
16,0,3,16,0,0,0,0,-35.376384,149.1923618,100,1
17,0,3,16,0,0,0,0,-35.379953,149.1945076,100,1
18,0,3,16,0,0,0,0,-35.3796731,149.19837,100,1
19,0,3,16,0,0,0,0,-35.3752642,149.2030907,100,1
20,0,3,16,0,0,0,0,-35.3669356,149.2058372,100,1
21,0,3,16,0,0,0,0,-35.362596,149.2085838,100,1
22,0,3,16,0,0,0,0,-35.3597962,149.1999149,100,1
23,0,3,16,0,0,0,0,-35.3551062,149.1958809,100,1
24,0,3,16,0,0,0,0,-35.3502759,149.1918468,100,1
25,0,3,16,0,0,0,0,-35.3474056,149.1803455,100,1
26,0,3,16,0,0,0,0,-35.3499259,149.1745949,100,1
27,0,3,16,0,0,0,0,-35.351466,149.1691017,100,1
28,0,3,16,0,0,0,0,-35.3524461,149.1601753,100,1
29,0,3,16,0,0,0,0,-35.3498559,149.1571712,100,1
30,0,3,16,0,0,0,0,-35.351116,149.1521931,100,1
31,0,3,16,0,0,0,0,-35.3486657,149.1483307,100,1
32,0,3,16,0,0,0,0,-35.3437651,149.1457558,100,1
33,0,3,16,0,0,0,0,-35.3422248,149.1513348,100,1
34,0,3,16,0,0,0,0,-35.3362735,149.1508198,100,1
35,0,3,16,0,0,0,0,-35.3336127,149.1563129,100,1
36,0,3,16,0,0,0,0,-35.3297615,149.1585445,100,1
37,0,3,16,0,0,0,0,-35.3301816,149.1676426,100,1
38,0,3,16,0,0,0,0,-35.3228288,149.1680717,100,1
39,0,3,16,0,0,0,0,-35.3220585,149.1619778,100,1
40,0,3,16,0,0,0,0,-35.3233191,149.1571712,100,1
41,0,3,16,0,0,0,0,-35.3245095,149.1499615,100,1
42,0,3,16,0,0,0,0,-35.32577,149.1443825,100,1
43,0,3,16,0,0,0,0,-35.3314421,149.1408634,100,1
44,0,3,16,0,0,0,0,-35.338444,149.1364002,100,1
45,0,3,16,0,0,0,0,-35.3415247,149.1291904,100,1
46,0,3,16,0,0,0,0,-35.3440451,149.1278172,100,1
47,0,3,16,0,0,0,0,-35.351606,149.1267014,100,1
48,0,3,16,0,0,0,0,-35.3530761,149.1297913,100,1
49,0,3,16,0,0,0,0,-35.3591662,149.1295338,100,1
50,0,3,16,0,0,0,0,-35.3601462,149.1339111,100,1
51,0,3,16,0,0,0,0,-35.363646,149.1373444,100,1
52,0,3,16,0,0,0,0,-35.3572062,149.1458416,100,1
53,0,3,16,0,0,0,0,-35.3580462,149.1584587,100,1
54,0,3,16,0,0,0,0,-35.3607061,149.1675568,100,1
